CatalogNumber,ScientificName,# of individuals,Locality,Country,YearCollected,Photo
197971,Moxostoma sp.,5,"F ; HLB 1392; Devils River @ Hwy 163, Bakers Crossing, N of Comstock; Rio Grande; Devils River; Texas; Val Verde; 4/4/2003",United States of America,2003,
198404,Moxostoma congestum,6,F ; HLB 1444; Verde Creek at Co. Rd. 445 S New Fountain; Guadalupe River; Verde Creek; Texas; Medina; 5/3/2005,United States of America,2005,
198407,Moxostoma congestum,4,"F ; HLB 1446; South Llano River at Hwy 41, Junction; Colorado River; South Llano River; Texas; Kimble; 5/3/2005",United States of America,2005,
200494,Moxostoma congestum,8,"F ; MDC 233; Reese Creek, Hwy 2670, Ding Dong; Brazos River; Reese Creek; Texas; Bell; 5/6/2005",United States of America,2005,
200632,Moxostoma congestum,2,"F ; HLB 1395; at US 90, East of Del Rio; Rio Grande; Pinto Creek; Texas; Kinney; 4/5/2003",United States of America,2003,
202134,Moxostoma sp. Cf. austrinum,9,"F ; HLB 1390; Rio Conchos, at Rio Escondido; Rio Bravo; Rio Conchos; Chihuahua; ; 4/2/2003",Mexico,2003,
202138,Moxostoma sp. Cf. albidum,16,F ; HLB 1313; Rio San Felipe trib to Rio Colona S La Libertad; Rio Soto La Marina; Rio San Felipe; Tamaulipas; ; 1/10/2001,Mexico,2001,Y
202139,Moxostoma mascotae,5,F ; HLB 1419; Arroyo Petrero el Grande at Puente Grande 9.5 km W of Ameca; Rio Ameca; Arroyo Petrero el grande; Jalisco; ; 1/11/2004,Mexico,2004,Y
202140,Catostomus sp. Cf. plebius,26,F ; HLB 1491; Balverio Virgel just W outside of Gualterio; Rio Mezquital; ; Zacatecas; ; 1/10/2008,Mexico,2008,
202141,Moxostoma sp. Cf. austrinum,25,F ; HLB 1387; Rio Conchos at Hwy 24 Valle de Zaragoza; Rio Bravo / Grande; Rio Conchos; Chihuahua; ; 4/1/2003,Mexico,2003,
202142,Moxostoma austrinum,22,F ; HLB 1416; Arroyo San Marcos at Chiquimitio; Rio Grande de Morelia/ Laguna Cuitzeo; Arroyo San Marcos; Michoacan; ; 1/10/2004,Mexico,2004,Y
202143,Moxostoma sp. Cf. austrinum,11,F ; HLB 1420; Arroyo Trib to Juchipila at Santa Rosa; Rios Grande de Santiago; ; Zacatecas; ; 1/12/2004,Mexico,2004,Y
202144,Catostomus sp. Cf. plebius,18,F ; HLB 1492; Rio Nombre de Dios at Rancho San Patricio SW Nombre de Dios; Rio Mezquital; Rio Nombre de Dios; Durango; ; 1/11/2008,Mexico,2008,
202145,Moxostoma austrinum,4,F ; HLB 1417; Arroyo la Mintzita 200 m from Crisola Paper Plant at La Huerta; Rio Grande de Morelia / Laguna Cuitzeo; Arroyo la mintzita; Michoacan; ; 1/10/2004,Mexico,2004,Y
202146,Moxostoma congestum,3,F ; HLB 1489; Rio Cabezones at Hwy 85 S of Montemorelos.; Rio San Fernando; Rio Cabezones; Nueva Leon; ; 8/9/2007,Mexico,2007,Y
202147,Moxostoma mascotae,10,F ; HLB 1418; Rio Atenguillo  at Hwy 70 neat Atenguillo; Rio Ameca; Rio Atenguillo; Jalisco; ; 1/10/2004,Mexico,2004,Y
202148,Moxostoma austrinum,4(3 Photographed),F ; HLB 1423; Rio Duero at Etucuaro rd.; Laguna Chapala; Rio Duero; Michoacan; ; 1/15/2004,Mexico,2004,Y
204100,Moxostoma austrinum,3,"F ; HLB 1421; Arroyo Chichoco, at Hwy. 23 N of Momax (Trib. To Rio Bolonos); Rio Grand de Santiago; Arroyo Chichoco; Zacatecas; ; 1/12/2004",Mexico,2004,
