FORM,COLL_NUM,DRAINAGE,SYSTEM,COUNTRY,STATE,COUNTY,STREAM,DATE,SPM.,SL,TL,WT,SEX,STAGE,GONAD,TUBERCLES,VERT,LL_SC,CB_SC,CB_U,CB_L,CP_SC,CP_ROW,PD_SC,BR_SC,P1,P2_L,P2_R,D,A,C,GR,GR_L,CAUD_Z,SCBASE_ANT,SCBASE_POS,D_MARG,PRE_D,PRE_P1,PRE_P2,PRE_A,SNT_L,PORB_L,HD_L,CP_L,CP_D,BD_D_ORG,HD_D_OCC,BD_W,HD_W,ORB_L,LIP_W,LIP_L,D_HT,P1_L,P2_L_O,P2_L_I,A_L,UCL,LCL,LIP_A,U_LIP_P,L_LIP_P,L_LIP_TR_%,MED_PROL,GUT_X,GUT_L,ABDCAV_L,GASBLD_TL,GB_CH_1,GB_CH_2,GB_CH_3,GB_TAIL,ST_PORE,ST_INT,ST.INT,ST_CPL,ST%ABS,PO_PORE,PO_INT,PO.INT,PO_CPL,PO%ABS,SO_PORE,SO_INT,SO.INT,SO_CPL,SO%ABS,IO_PORE,IO_INT,IO.INT,IO_CPL,IO%ABS,PM_PORE,PM_INT,PM.INT,PM_CPL,PM%ABS,TEETH,ARCH_L,ARCH_W,BASE_L,BASE_W,TOOTHROW_L,TEETH_.,TEETH_1/2.,TEETH BLW HEEL,TOOTH_HT,CROWN_L,CROWN_W,T BASE WID
01  con,USNM 171,04 SanAntonio,.,USA,TX,Bexar,Salado Cr,1851----,.,118,0,0,.,.,.,.,0,42,32,13,17,16,0,0,0,17,10,9,12,0,0,0,0,9,9,9,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,99,,,,,,,,.,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,.,0,0,0,0,0,0,0,0,0,0,0,0
01  con,USNM 164525,01 Brazos,.,USA,TX,Bell,Salado Cr,.,.,95,0,0,.,.,.,.,0,45,33,13,18,16,0,0,0,17,9,9,12,0,0,0,0,9,9,9,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,99,,,,,,,,.,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,.,0,0,0,0,0,0,0,0,0,0,0,0
01  con,TNHC 4148,01 Brazos,.,USA,TX,Bosque,Bee Cr,19530625,27,56,0,0,.,.,.,.,0,44,0,0,0,16,0,0,0,16,9,8,11,0,0,0,0,9,9,9,.,0,0,0,0,0,0,14.9,7.8,7,0,11.1,0,10.7,3.5,4.7,2.3,0,12.2,0,0,0,0,0,0,32,19,999,99,,,,,,,,.,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,.,0,0,0,0,0,0,0,0,0,0,0,0
01  con,TNHC 4148,01 Brazos,.,USA,TX,Bosque,Bee Cr,19530625,23,56,0,0,.,.,.,.,0,44,35,14,19,16,0,0,0,17,9,9,12,0,0,0,0,9,9,9,.,0,0,0,0,0,0,14.4,8.3,6.7,0,10.7,0,9.5,3.3,4,1.8,0,11.5,0,0,0,0,0,130,30,18,999,99,,,,,,,,.,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,.,0,0,0,0,0,0,0,0,0,0,0,0
01  con,TNHC 4148,01 Brazos,.,USA,TX,Bosque,Bee Cr,19530625,.,51.6,0,0,.,.,.,.,0,44,33,13,18,16,0,0,0,16,9,9,11,0,0,0,0,9,9,9,.,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.3,1.4,0,11,0,0,0,0,0,0,29,17,999,99,,,,,,,,.,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,.,0,0,0,0,0,0,0,0,0,0,0,0
01  con,TNHC 4148,01 Brazos,.,USA,TX,Bosque,Bee Cr,19530625,5,50.6,0,0,.,.,.,.,0,43,33,14,17,16,0,0,0,16,9,9,12,0,0,0,0,9,9,9,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,10.8,0,0,0,0,0,0,0,0,999,99,,,,,,,,.,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,.,0,0,0,0,0,0,0,0,0,0,0,0
01  con,TNHC 4148,01 Brazos,.,USA,TX,Bosque,Bee Cr,19530625,8,48.9,0,0,.,.,.,.,0,43,37,14,21,16,0,0,0,15,9,9,11,0,0,0,0,9,9,9,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,11.2,0,0,0,0,0,0,0,0,999,99,,,,,,,,.,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,.,0,0,0,0,0,0,0,0,0,0,0,0
01  con,TNHC 4148,01 Brazos,.,USA,TX,Bosque,Bee Cr,19530625,22,45.7,0,0,.,.,.,.,0,42,36,14,20,16,0,0,0,16,9,9,12,0,0,0,0,9,9,9,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,10,0,0,0,0,0,0,0,0,999,99,,,,,,,,.,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,.,0,0,0,0,0,0,0,0,0,0,0,0
01  con,TNHC 4148,01 Brazos,.,USA,TX,Bosque,Bee Cr,19530625,38,45,0,0,.,.,.,.,0,44,36,14,20,15,0,0,0,16,8,8,12,0,0,0,0,9,9,9,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,99,,,,,,,,.,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,999,.,999,.,999,.,0,0,0,0,0,0,0,0,0,0,0,0
01  con,UMMZ 120191,01 Brazos,.,USA,TX,McLennan,S Bosque R,19380621,.,169,0,0,.,.,.,.,0,43,33,15,16,16,0,0,100,17,9,9,12,0,0,26,0,9,9,9,.,0,0,0,0,18.5,0,38.3,24.9,18.4,43.1,29.8,25,29.5,7.1,12.9,7.9,0,36.1,0,0,0,0,0,0,30,20,999,99,8,,,77.1,,,,.,25,yes,4,yes,0,0,na,0,na,100,29,no,0,no,999,31,yes,2,no,999,25,yes,6,no,20,.,0,0,0,0,0,0,0,0,0,0,0,0
